entry,at,order
"""Cody @ HO1vaicBKi"" shows a 8♣, 9♣.",2021-01-06T04:06:47.147Z,160990600714800
"-- ending hand #75 --",2021-01-06T04:06:44.770Z,160990600477102
"""Asher @ 19TVcwV9oC"" collected 100 from pot",2021-01-06T04:06:44.770Z,160990600477101
"Uncalled bet of 250 returned to ""Asher @ 19TVcwV9oC""",2021-01-06T04:06:44.770Z,160990600477100
"""Cody @ HO1vaicBKi"" folds",2021-01-06T04:06:43.954Z,160990600395500
"""Tony @ I8y9iW09Dh"" folds",2021-01-06T04:05:34.618Z,160990593461900
"""Gautam @ XR0UMSLq50"" folds",2021-01-06T04:05:33.739Z,160990593373900
"""travis @ KSAenvQzCz"" folds",2021-01-06T04:03:59.899Z,160990583990000
"""Asher @ 19TVcwV9oC"" bets 250",2021-01-06T04:03:11.657Z,160990579165800
"""Cody @ HO1vaicBKi"" checks",2021-01-06T04:03:06.995Z,160990578699600
"""Tony @ I8y9iW09Dh"" checks",2021-01-06T04:03:04.390Z,160990578439100
"""Gautam @ XR0UMSLq50"" checks",2021-01-06T04:03:03.509Z,160990578351000
"Flop:  [A♠, K♠, 6♥]",2021-01-06T04:02:52.625Z,160990577262600
"""Tony @ I8y9iW09Dh"" checks",2021-01-06T04:02:51.809Z,160990577180900
"""Gautam @ XR0UMSLq50"" calls 20",2021-01-06T04:02:50.930Z,160990577093100
"""travis @ KSAenvQzCz"" calls 20",2021-01-06T04:02:50.032Z,160990577003300
"""Asher @ 19TVcwV9oC"" calls 20",2021-01-06T04:02:49.179Z,160990576918000
"""Cody @ HO1vaicBKi"" calls 20",2021-01-06T04:02:48.347Z,160990576834800
"""Tony @ I8y9iW09Dh"" posts a big blind of 20",2021-01-06T04:02:41.243Z,160990576124608
"""Gautam @ XR0UMSLq50"" posts a small blind of 10",2021-01-06T04:02:41.243Z,160990576124607
"Player stacks: #1 ""Gautam @ XR0UMSLq50"" (1460) | #4 ""Tony @ I8y9iW09Dh"" (955) | #7 ""Cody @ HO1vaicBKi"" (2155) | #8 ""Asher @ 19TVcwV9oC"" (1910) | #9 ""travis @ KSAenvQzCz"" (520)",2021-01-06T04:02:41.243Z,160990576124601
"-- starting hand #75  (No Limit Texas Hold'em) (dealer: ""travis @ KSAenvQzCz"") --",2021-01-06T04:02:41.243Z,160990576124600
"""Tony @ I8y9iW09Dh"" shows a 7♥, 7♦.",2021-01-06T04:02:40.023Z,160990576003200
"-- ending hand #74 --",2021-01-06T04:02:37.615Z,160990575761602
"""Gautam @ XR0UMSLq50"" collected 250 from pot",2021-01-06T04:02:37.615Z,160990575761601
"Uncalled bet of 160 returned to ""Gautam @ XR0UMSLq50""",2021-01-06T04:02:37.615Z,160990575761600
"""Tony @ I8y9iW09Dh"" folds",2021-01-06T04:02:36.794Z,160990575679800
"""Gautam @ XR0UMSLq50"" bets 160",2021-01-06T04:01:31.252Z,160990569125200
"Turn: J♠, 8♠, K♥ [9♠]",2021-01-06T04:01:05.849Z,160990566585100
"""Tony @ I8y9iW09Dh"" checks",2021-01-06T04:01:05.038Z,160990566503900
"""Gautam @ XR0UMSLq50"" checks",2021-01-06T04:01:01.465Z,160990566146600
"Flop:  [J♠, 8♠, K♥]",2021-01-06T04:00:55.413Z,160990565541400
"""Tony @ I8y9iW09Dh"" calls 120",2021-01-06T04:00:54.601Z,160990565460200
"""Gautam @ XR0UMSLq50"" raises to 120",2021-01-06T04:00:51.082Z,160990565108300
"""travis @ KSAenvQzCz"" folds",2021-01-06T04:00:41.386Z,160990564138700
"""Asher @ 19TVcwV9oC"" folds",2021-01-06T04:00:40.533Z,160990564053400
"""Cody @ HO1vaicBKi"" folds",2021-01-06T04:00:39.702Z,160990563970300
"""Tony @ I8y9iW09Dh"" raises to 70",2021-01-06T04:00:11.080Z,160990561108100
"""Gautam @ XR0UMSLq50"" posts a big blind of 20",2021-01-06T04:00:00.950Z,160990560095108
"""travis @ KSAenvQzCz"" posts a small blind of 10",2021-01-06T04:00:00.950Z,160990560095107
"Player stacks: #1 ""Gautam @ XR0UMSLq50"" (1330) | #4 ""Tony @ I8y9iW09Dh"" (1075) | #7 ""Cody @ HO1vaicBKi"" (2155) | #8 ""Asher @ 19TVcwV9oC"" (1910) | #9 ""travis @ KSAenvQzCz"" (530)",2021-01-06T04:00:00.950Z,160990560095101
"-- starting hand #74  (No Limit Texas Hold'em) (dealer: ""Asher @ 19TVcwV9oC"") --",2021-01-06T04:00:00.950Z,160990560095100
"-- ending hand #73 --",2021-01-06T03:59:58.025Z,160990559802602
"""Cody @ HO1vaicBKi"" collected 160 from pot",2021-01-06T03:59:58.025Z,160990559802601
"Uncalled bet of 40 returned to ""Cody @ HO1vaicBKi""",2021-01-06T03:59:58.025Z,160990559802600
"""Gautam @ XR0UMSLq50"" folds",2021-01-06T03:59:57.219Z,160990559722000
"""travis @ KSAenvQzCz"" folds",2021-01-06T03:59:48.575Z,160990558857500
"""Cody @ HO1vaicBKi"" bets 40",2021-01-06T03:59:46.923Z,160990558692400
"""Gautam @ XR0UMSLq50"" checks",2021-01-06T03:59:41.761Z,160990558176100
"""travis @ KSAenvQzCz"" checks",2021-01-06T03:59:39.824Z,160990557982400
"Flop:  [3♦, 7♠, 4♦]",2021-01-06T03:59:36.217Z,160990557621900
"""Gautam @ XR0UMSLq50"" calls 50",2021-01-06T03:59:35.412Z,160990557541300
"""travis @ KSAenvQzCz"" calls 50",2021-01-06T03:59:30.613Z,160990557061400
"""Asher @ 19TVcwV9oC"" folds",2021-01-06T03:59:27.019Z,160990556702000
"""Cody @ HO1vaicBKi"" raises to 50",2021-01-06T03:59:26.182Z,160990556618300
"""Tony @ I8y9iW09Dh"" folds",2021-01-06T03:59:17.638Z,160990555763900
"""Gautam @ XR0UMSLq50"" calls 20",2021-01-06T03:59:16.761Z,160990555676200
"""travis @ KSAenvQzCz"" posts a big blind of 20",2021-01-06T03:57:48.098Z,160990546809908
"""Asher @ 19TVcwV9oC"" posts a small blind of 10",2021-01-06T03:57:48.098Z,160990546809907
"Player stacks: #1 ""Gautam @ XR0UMSLq50"" (1380) | #4 ""Tony @ I8y9iW09Dh"" (1075) | #7 ""Cody @ HO1vaicBKi"" (2045) | #8 ""Asher @ 19TVcwV9oC"" (1920) | #9 ""travis @ KSAenvQzCz"" (580)",2021-01-06T03:57:48.098Z,160990546809901
"-- starting hand #73  (No Limit Texas Hold'em) (dealer: ""Cody @ HO1vaicBKi"") --",2021-01-06T03:57:48.098Z,160990546809900
"""Gautam @ XR0UMSLq50"" shows a 6♦, 5♠.",2021-01-06T03:57:46.741Z,160990546674200
"""Tony @ I8y9iW09Dh"" shows a A♥, 6♥.",2021-01-06T03:57:44.521Z,160990546452200
"-- ending hand #72 --",2021-01-06T03:57:43.770Z,160990546377002
"""Gautam @ XR0UMSLq50"" collected 690 from pot",2021-01-06T03:57:43.770Z,160990546377001
"Uncalled bet of 690 returned to ""Gautam @ XR0UMSLq50""",2021-01-06T03:57:43.770Z,160990546377000
"""Tony @ I8y9iW09Dh"" folds",2021-01-06T03:57:42.963Z,160990546296400
"""Gautam @ XR0UMSLq50"" bets 690 and go all in",2021-01-06T03:57:23.163Z,160990544316400
"River: K♠, 10♠, A♠, Q♠ [9♥]",2021-01-06T03:56:46.483Z,160990540648900
"""Tony @ I8y9iW09Dh"" calls 200",2021-01-06T03:56:45.667Z,160990540566800
"""Gautam @ XR0UMSLq50"" bets 200",2021-01-06T03:55:56.087Z,160990535608800
"Turn: K♠, 10♠, A♠ [Q♠]",2021-01-06T03:55:44.327Z,160990534432900
"""Gautam @ XR0UMSLq50"" calls 20",2021-01-06T03:55:43.518Z,160990534351900
"""Asher @ 19TVcwV9oC"" folds",2021-01-06T03:55:30.599Z,160990533060000
"""Tony @ I8y9iW09Dh"" bets 20",2021-01-06T03:55:29.769Z,160990532977000
