entry,at,order
"-- ending hand #55 --",2021-01-13T04:02:14.502Z,161051053450503
"""Tuts 2021 @ jmPBr71waH"" collected 72 from pot with Straight, J High (combination: J♠, 10♠, 9♣, 8♠, 7♥)",2021-01-13T04:02:14.502Z,161051053450502
"""Tuts 2021 @ jmPBr71waH"" collected 741 from pot with Straight, J High (combination: J♠, 10♠, 9♣, 8♠, 7♥)",2021-01-13T04:02:14.502Z,161051053450501
"""Asher @ 19TVcwV9oC"" collected 741 from pot with Straight, J High (combination: J♠, 10♠, 9♣, 8♦, 7♥)",2021-01-13T04:02:14.502Z,161051053450500
"""Tuts 2021 @ jmPBr71waH"" shows a 4♣, 8♠.",2021-01-13T04:02:12.775Z,161051053277500
"River: 9♣, 10♠, 6♠, 7♥ [J♠]",2021-01-13T04:02:11.473Z,161051053148600
"""BJ @ ZvsiqtjDfV"" shows a 5♣, A♣.",2021-01-13T04:02:10.720Z,161051053072100
"""Asher @ 19TVcwV9oC"" shows a 8♦, 6♣.",2021-01-13T04:02:09.349Z,161051052935000
"""BJ @ ZvsiqtjDfV"" calls 450",2021-01-13T04:02:07.648Z,161051052764900
"""Tuts 2021 @ jmPBr71waH"" raises to 450 and go all in",2021-01-13T04:02:06.175Z,161051052617600
"""Ravi @ xn9mvyMGGz"" folds",2021-01-13T04:01:51.348Z,161051051134900
"""Asher @ 19TVcwV9oC"" raises to 414 and go all in",2021-01-13T04:01:43.287Z,161051050328700
"""BJ @ ZvsiqtjDfV"" calls 120",2021-01-13T04:01:39.990Z,161051049999100
"""Tuts 2021 @ jmPBr71waH"" raises to 120",2021-01-13T04:01:39.058Z,161051049905900
"""Ravi @ xn9mvyMGGz"" bets 20",2021-01-13T04:01:34.347Z,161051049434800
"Turn: 9♣, 10♠, 6♠ [7♥]",2021-01-13T04:01:26.268Z,161051048627100
"""Gautam @ XR0UMSLq50"" folds",2021-01-13T04:01:25.459Z,161051048546000
"""Cody @ HO1vaicBKi"" folds",2021-01-13T04:01:18.300Z,161051047830100
"""Asher @ 19TVcwV9oC"" calls 20",2021-01-13T04:01:17.449Z,161051047745000
"""BJ @ ZvsiqtjDfV"" calls 20",2021-01-13T04:01:10.924Z,161051047092500
"""Tony @ I8y9iW09Dh"" folds",2021-01-13T04:01:10.093Z,161051047009400
"""Tuts 2021 @ jmPBr71waH"" calls 20",2021-01-13T04:01:07.862Z,161051046786300
"""Ravi @ xn9mvyMGGz"" bets 20",2021-01-13T04:01:04.845Z,161051046484600
"Flop:  [9♣, 10♠, 6♠]",2021-01-13T04:00:58.197Z,161051045819800
"""Tuts 2021 @ jmPBr71waH"" checks",2021-01-13T04:00:57.390Z,161051045739000
"""Ravi @ xn9mvyMGGz"" calls 20",2021-01-13T04:00:55.794Z,161051045579400
"""Gautam @ XR0UMSLq50"" calls 20",2021-01-13T04:00:54.900Z,161051045490100
"""Cody @ HO1vaicBKi"" calls 20",2021-01-13T04:00:53.996Z,161051045399700
"""Asher @ 19TVcwV9oC"" calls 20",2021-01-13T04:00:53.149Z,161051045315000
"""BJ @ ZvsiqtjDfV"" calls 20",2021-01-13T04:00:52.309Z,161051045230900
"""Tony @ I8y9iW09Dh"" calls 20",2021-01-13T04:00:51.470Z,161051045147100
"""Tuts 2021 @ jmPBr71waH"" posts a big blind of 20",2021-01-13T04:00:49.233Z,161051044923410
"""Ravi @ xn9mvyMGGz"" posts a small blind of 10",2021-01-13T04:00:49.233Z,161051044923409
"Player stacks: #1 ""BJ @ ZvsiqtjDfV"" (1019) | #2 ""Asher @ 19TVcwV9oC"" (454) | #3 ""Cody @ HO1vaicBKi"" (2470) | #5 ""Gautam @ XR0UMSLq50"" (2460) | #6 ""Ravi @ xn9mvyMGGz"" (1676) | #8 ""Tuts 2021 @ jmPBr71waH"" (490) | #10 ""Tony @ I8y9iW09Dh"" (4431)",2021-01-13T04:00:49.233Z,161051044923401
"-- starting hand #55  (No Limit Texas Hold'em) (dealer: ""Gautam @ XR0UMSLq50"") --",2021-01-13T04:00:49.233Z,161051044923400
"-- ending hand #54 --",2021-01-13T04:00:46.307Z,161051044630802
"""Ravi @ xn9mvyMGGz"" collected 120 from pot",2021-01-13T04:00:46.307Z,161051044630801
"Uncalled bet of 120 returned to ""Ravi @ xn9mvyMGGz""",2021-01-13T04:00:46.307Z,161051044630800
"""Gautam @ XR0UMSLq50"" folds",2021-01-13T04:00:45.483Z,161051044548400
"""Tuts 2021 @ jmPBr71waH"" folds",2021-01-13T04:00:41.265Z,161051044126500
"""Ravi @ xn9mvyMGGz"" bets 120",2021-01-13T04:00:37.340Z,161051043734100
"""Gautam @ XR0UMSLq50"" checks",2021-01-13T04:00:32.448Z,161051043244900
"Flop:  [5♥, 6♦, 6♣]",2021-01-13T04:00:28.357Z,161051042835900
"""Ravi @ xn9mvyMGGz"" calls 40",2021-01-13T04:00:27.550Z,161051042755100
"""Gautam @ XR0UMSLq50"" calls 40",2021-01-13T04:00:24.391Z,161051042439200
"""Cody @ HO1vaicBKi"" folds",2021-01-13T04:00:21.971Z,161051042197200
"""Asher @ 19TVcwV9oC"" folds",2021-01-13T04:00:21.125Z,161051042112600
"""BJ @ ZvsiqtjDfV"" folds",2021-01-13T04:00:20.284Z,161051042028400
"""Tony @ I8y9iW09Dh"" folds",2021-01-13T04:00:19.438Z,161051041943800
