entry,at,order
"The player ""Gautam @ XR0UMSLq50"" quits the game with a stack of 0.",2021-01-06T05:05:54.060Z,160990955406300
"""Gautam @ XR0UMSLq50"" shows a Q♠, 10♦.",2021-01-06T05:05:50.647Z,160990955064800
"-- ending hand #127 --",2021-01-06T05:05:47.531Z,160990954753302
"""Tony @ I8y9iW09Dh"" collected 1950 from pot with Full House, A's over Q's (combination: A♠, A♥, A♦, Q♦, Q♥)",2021-01-06T05:05:47.531Z,160990954753301
"""Tony @ I8y9iW09Dh"" shows a A♠, 6♥.",2021-01-06T05:05:47.531Z,160990954753300
"""Gautam @ XR0UMSLq50"" calls 615 and go all in",2021-01-06T05:05:46.718Z,160990954671900
"""Tony @ I8y9iW09Dh"" bets 615",2021-01-06T05:05:37.411Z,160990953741100
"River: A♥, Q♦, Q♥, 6♦ [A♦]",2021-01-06T05:05:19.976Z,160990951998300
"""Tony @ I8y9iW09Dh"" calls 240",2021-01-06T05:05:19.170Z,160990951917000
"""Gautam @ XR0UMSLq50"" raises to 240",2021-01-06T05:04:55.028Z,160990949502900
"""Tony @ I8y9iW09Dh"" bets 120",2021-01-06T05:04:34.942Z,160990947494200
"Turn: A♥, Q♦, Q♥ [6♦]",2021-01-06T05:04:24.628Z,160990946462900
"""Gautam @ XR0UMSLq50"" calls 60",2021-01-06T05:04:23.817Z,160990946381800
"""Tony @ I8y9iW09Dh"" bets 60",2021-01-06T05:04:15.731Z,160990945573200
"Flop:  [A♥, Q♦, Q♥]",2021-01-06T05:04:06.505Z,160990944650600
"""Gautam @ XR0UMSLq50"" calls 60",2021-01-06T05:04:05.700Z,160990944570100
"""Tony @ I8y9iW09Dh"" raises to 60",2021-01-06T05:04:00.447Z,160990944044800
"""Gautam @ XR0UMSLq50"" calls 20",2021-01-06T05:03:43.401Z,160990942340200
"""Tony @ I8y9iW09Dh"" posts a big blind of 20",2021-01-06T05:03:15.328Z,160990939532905
"""Gautam @ XR0UMSLq50"" posts a small blind of 10",2021-01-06T05:03:15.328Z,160990939532904
"Your hand is 7♠, 6♥",2021-01-06T05:03:15.328Z,160990939532903
"Player stacks: #1 ""Gautam @ XR0UMSLq50"" (975) | #4 ""Tony @ I8y9iW09Dh"" (1900)",2021-01-06T05:03:15.328Z,160990939532901
"-- starting hand #127  (No Limit Texas Hold'em) (dealer: ""Gautam @ XR0UMSLq50"") --",2021-01-06T05:03:15.328Z,160990939532900
"-- ending hand #126 --",2021-01-06T05:03:12.418Z,160990939241902
"""Tony @ I8y9iW09Dh"" collected 360 from pot",2021-01-06T05:03:12.418Z,160990939241901
"Uncalled bet of 200 returned to ""Tony @ I8y9iW09Dh""",2021-01-06T05:03:12.418Z,160990939241900
"""Gautam @ XR0UMSLq50"" folds",2021-01-06T05:03:11.613Z,160990939161300
"""Tony @ I8y9iW09Dh"" bets 200",2021-01-06T05:01:33.296Z,160990929329600
"""Gautam @ XR0UMSLq50"" checks",2021-01-06T05:01:29.130Z,160990928913400
"Turn: 9♠, 6♣, 5♠ [K♦]",2021-01-06T05:00:51.728Z,160990925172900
"""Tony @ I8y9iW09Dh"" calls 120",2021-01-06T05:00:50.920Z,160990925092000
"""Gautam @ XR0UMSLq50"" raises to 120",2021-01-06T05:00:48.797Z,160990924879800
"""Tony @ I8y9iW09Dh"" bets 60",2021-01-06T05:00:41.684Z,160990924168500
"""Gautam @ XR0UMSLq50"" checks",2021-01-06T05:00:36.714Z,160990923671500
"Flop:  [9♠, 6♣, 5♠]",2021-01-06T05:00:25.523Z,160990922552400
"""Gautam @ XR0UMSLq50"" calls 60",2021-01-06T05:00:24.717Z,160990922471800
"""Tony @ I8y9iW09Dh"" raises to 60",2021-01-06T05:00:11.137Z,160990921113800
"""Gautam @ XR0UMSLq50"" posts a big blind of 20",2021-01-06T05:00:08.420Z,160990920842105
"""Tony @ I8y9iW09Dh"" posts a small blind of 10",2021-01-06T05:00:08.420Z,160990920842104
"Your hand is 7♣, A♦",2021-01-06T05:00:08.420Z,160990920842103
"Player stacks: #1 ""Gautam @ XR0UMSLq50"" (1155) | #4 ""Tony @ I8y9iW09Dh"" (1720)",2021-01-06T05:00:08.420Z,160990920842101
"-- starting hand #126  (No Limit Texas Hold'em) (dealer: ""Tony @ I8y9iW09Dh"") --",2021-01-06T05:00:08.420Z,160990920842100
"-- ending hand #125 --",2021-01-06T05:00:05.482Z,160990920548302
"""Gautam @ XR0UMSLq50"" collected 160 from pot",2021-01-06T05:00:05.482Z,160990920548301
"Uncalled bet of 80 returned to ""Gautam @ XR0UMSLq50""",2021-01-06T05:00:05.482Z,160990920548300
"""Tony @ I8y9iW09Dh"" folds",2021-01-06T05:00:04.677Z,160990920467700
"""Gautam @ XR0UMSLq50"" bets 80",2021-01-06T04:59:58.939Z,160990919894000
"""Tony @ I8y9iW09Dh"" checks",2021-01-06T04:59:52.381Z,160990919238200
"Turn: 3♠, 9♠, A♣ [J♦]",2021-01-06T04:58:59.933Z,160990913993400
"""Gautam @ XR0UMSLq50"" calls 40",2021-01-06T04:58:59.128Z,160990913912900
"""Tony @ I8y9iW09Dh"" bets 40",2021-01-06T04:58:53.662Z,160990913366300
"Flop:  [3♠, 9♠, A♣]",2021-01-06T04:58:48.369Z,160990912837000
"""Tony @ I8y9iW09Dh"" calls 40",2021-01-06T04:58:47.559Z,160990912756100
"""Gautam @ XR0UMSLq50"" raises to 40",2021-01-06T04:58:40.831Z,160990912083200
"""Tony @ I8y9iW09Dh"" posts a big blind of 20",2021-01-06T04:58:35.538Z,160990911553905
"""Gautam @ XR0UMSLq50"" posts a small blind of 10",2021-01-06T04:58:35.538Z,160990911553904
"Your hand is 7♣, 3♣",2021-01-06T04:58:35.538Z,160990911553903
